route_b_item,route_b_store,date,predicted_sales,forecast_source,actual_sales
FOODS_3_189,CA_2,2015-11-04,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-05,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-06,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-07,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-08,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-09,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-10,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-11,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-12,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-13,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-14,1.7142857142857142,visible_launch_fallback,5
FOODS_3_189,CA_2,2015-11-15,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-16,1.7142857142857142,visible_launch_fallback,4
FOODS_3_189,CA_2,2015-11-17,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-18,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-19,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-20,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-21,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-22,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-23,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-24,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-25,2.673297882080078,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-26,1.810106873512268,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-27,2.110476493835449,semantic_topk_model_transfer,2
FOODS_3_189,CA_2,2015-11-28,3.081486463546753,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-29,2.8782827854156494,semantic_topk_model_transfer,2
FOODS_3_189,CA_2,2015-11-30,2.0242037773132324,semantic_topk_model_transfer,4
FOODS_3_189,CA_2,2015-12-01,2.3609957695007324,semantic_topk_model_transfer,0
