route_b_item,route_b_store,route_b_state,similar_item,similar_store,similar_state,similarity_rank,similarity_score,similar_cat,similar_dept,similar_price_band
FOODS_3_189,CA_2,CA,FOODS_3_118,CA_2,CA,1,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_744,CA_2,CA,2,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_583,CA_2,CA,3,0.99999976,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_3_643,CA_2,CA,4,0.98648405,FOODS,FOODS_3,low
FOODS_3_189,CA_2,CA,FOODS_2_364,CA_2,CA,5,0.98610705,FOODS,FOODS_2,low
FOODS_3_189,WI_2,WI,FOODS_3_038,WI_2,WI,1,0.9932161,FOODS,FOODS_3,high
FOODS_3_189,WI_2,WI,FOODS_3_796,WI_2,WI,2,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_145,WI_2,WI,3,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_343,WI_2,WI,4,0.9894659,FOODS,FOODS_3,mid
FOODS_3_189,WI_2,WI,FOODS_3_637,WI_2,WI,5,0.97222584,FOODS,FOODS_3,mid
FOODS_3_439,CA_2,CA,FOODS_3_796,CA_2,CA,1,1.0,FOODS,FOODS_3,mid
FOODS_3_439,CA_2,CA,FOODS_3_118,CA_2,CA,2,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_3_583,CA_2,CA,3,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_3_744,CA_2,CA,4,0.9858731,FOODS,FOODS_3,low
FOODS_3_439,CA_2,CA,FOODS_1_171,CA_2,CA,5,0.98561263,FOODS,FOODS_1,mid
FOODS_3_439,WI_2,WI,FOODS_3_395,WI_2,WI,1,0.98827595,FOODS,FOODS_3,mid
FOODS_3_439,WI_2,WI,FOODS_3_744,WI_2,WI,2,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_3_207,WI_2,WI,3,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_3_118,WI_2,WI,4,0.9859565,FOODS,FOODS_3,low
FOODS_3_439,WI_2,WI,FOODS_2_186,WI_2,WI,5,0.9787167,FOODS,FOODS_2,high
